unique_id,date,warehouse,sales,sell_price_main,availability,holiday,holiday_name,day_name,total_discount
525,2020/8/1,Prague_1,9427.74,3.68,0.63,0,,Saturday,0
525,2020/8/2,Prague_1,10084.269999999999,3.68,0.59,0,,Sunday,0
525,2020/8/3,Prague_1,10102.68,3.68,0.64,0,,Monday,0
525,2020/8/4,Prague_1,7644.5599999999995,3.68,0.6,0,,Tuesday,0
525,2020/8/5,Prague_1,10006.08,3.68,0.52,0,,Wednesday,0
525,2020/8/6,Prague_1,9935.38,3.68,0.45,0,,Thursday,0
525,2020/8/7,Prague_1,12936.279999999999,3.68,0.52,0,,Friday,0
525,2020/8/8,Prague_1,10123.75,3.68,0.56,1,Peace Festival in Augsburg,Saturday,0
525,2020/8/9,Prague_1,10269.63,3.68,0.56,0,,Sunday,0
525,2020/8/10,Prague_1,10075.59,3.68,0.6,0,,Monday,0
525,2020/8/11,Prague_1,9139.550000000001,3.68,0.61,0,,Tuesday,0
525,2020/8/12,Prague_1,9396.519999999999,3.68,0.52,0,,Wednesday,0
525,2020/8/13,Prague_1,10635.87,3.68,0.5,0,,Thursday,0
525,2020/8/14,Prague_1,11810.54,3.68,0.5,0,,Friday,0
525,2020/8/15,Prague_1,8933.12,3.68,0.5,1,Assumption of the Virgin Mary,Saturday,0
525,2020/8/16,Prague_1,9318.89,3.68,0.46,0,,Sunday,0
525,2020/8/17,Prague_1,9057.09,3.68,0.47000000000000003,0,,Monday,0
525,2020/8/18,Prague_1,12361.93,3.68,0.5,0,,Tuesday,0
525,2020/8/19,Prague_1,8242.57,3.68,0.48,0,,Wednesday,0
525,2020/8/20,Prague_1,9354.519999999999,3.68,0.45,1,State Foundation Day,Thursday,0
525,2020/8/21,Prague_1,11453.82,3.68,0.47000000000000003,1,Hungary National Day Holiday,Friday,0
525,2020/8/22,Prague_1,9033.08,3.68,0.48,0,,Saturday,0
525,2020/8/23,Prague_1,8787.31,3.68,0.47000000000000003,0,,Sunday,0
525,2020/8/24,Prague_1,8900.15,3.68,0.47000000000000003,0,,Monday,0
525,2020/8/25,Prague_1,11250.19,3.68,0.47000000000000003,0,,Tuesday,0
525,2020/8/26,Prague_1,11162.34,3.68,0.47000000000000003,0,,Wednesday,0
525,2020/8/27,Prague_1,10319.19,3.68,0.47000000000000003,0,,Thursday,0
525,2020/8/28,Prague_1,12016.550000000001,3.68,0.48,0,,Friday,0
525,2020/8/29,Prague_1,7722.1900000000005,3.68,0.46,0,,Saturday,0
525,2020/8/30,Prague_1,9887.01,3.68,0.46,0,,Sunday,0
525,2020/8/31,Prague_1,9634.59,3.68,0.56,0,,Monday,0
525,2020/9/1,Prague_1,11520.67,3.68,0.57,0,,Tuesday,0
525,2020/9/2,Prague_1,10275.51,3.68,0.54,0,,Wednesday,0
525,2020/9/3,Prague_1,10939.88,3.68,0.55,0,,Thursday,0
525,2020/9/4,Prague_1,17461.289999999997,3.68,0.61,0,,Friday,0
525,2020/9/5,Prague_1,9053.24,3.68,0.57,0,,Saturday,0
525,2020/9/6,Prague_1,13625.15,3.68,0.56,0,,Sunday,0
525,2020/9/7,Prague_1,12699.470000000001,3.68,0.57,0,,Monday,0
525,2020/9/8,Prague_1,11899.37,3.68,0.61,0,,Tuesday,0
525,2020/9/9,Prague_1,11877.529999999999,3.68,0.54,0,,Wednesday,0
525,2020/9/10,Prague_1,11328.449999999999,3.68,0.59,0,,Thursday,0
525,2020/9/11,Prague_1,12190.43,3.68,0.75,0,,Friday,0
525,2020/9/12,Prague_1,12218.01,3.68,0.75,0,,Saturday,0
525,2020/9/13,Prague_1,8051.82,3.68,0.76,0,,Sunday,0
525,2020/9/14,Prague_1,13451.480000000001,3.68,0.7700000000000001,0,,Monday,0
525,2020/9/15,Prague_1,12682.67,3.68,0.8099999999999999,0,,Tuesday,0
525,2020/9/16,Prague_1,13230.91,3.68,0.76,0,,Wednesday,0
525,2020/9/17,Prague_1,10571.33,3.68,0.7299999999999999,0,,Thursday,0
525,2020/9/18,Prague_1,13746.74,3.68,0.76,0,,Friday,0
525,2020/9/19,Prague_1,10121.37,3.68,0.74,0,,Saturday,0
525,2020/9/20,Prague_1,11515.35,3.68,0.68,0,,Sunday,0
525,2020/9/21,Prague_1,12837.019999999999,3.68,0.61,0,,Monday,0
525,2020/9/22,Prague_1,14785.470000000001,3.68,0.56,0,,Tuesday,0
525,2020/9/23,Prague_1,16152.429999999998,3.68,0.46,0,,Wednesday,0
525,2020/9/24,Prague_1,11812.71,3.68,0.48,0,,Thursday,0
525,2020/9/25,Prague_1,19802.440000000002,3.68,0.56,0,,Friday,0
525,2020/9/26,Prague_1,15708.42,3.68,0.57,0,,Saturday,0
525,2020/9/27,Prague_1,14546.490000000002,3.68,0.52,0,,Sunday,0
525,2020/9/28,Prague_1,17998.68,3.68,0.46,1,Den ceske statnosti,Monday,0
525,2020/9/29,Prague_1,16509.850000000002,3.68,0.5,0,,Tuesday,0
525,2020/9/30,Prague_1,18607.399999999998,3.68,0.52,0,,Wednesday,0
525,2020/10/1,Prague_1,12219.62,3.68,0.52,0,,Thursday,0
525,2020/10/2,Prague_1,14823.130000000001,3.68,0.58,0,,Friday,0
525,2020/10/3,Prague_1,12949.51,3.68,0.55,1,German Unity Day,Saturday,0
525,2020/10/4,Prague_1,13540.519999999999,3.68,0.47000000000000003,0,,Sunday,0
525,2020/10/5,Prague_1,14245.42,3.68,0.47000000000000003,0,,Monday,0
